,sp500,confianza,hipotecas,tipo_cambio,mes,trimestre,turistas_lag1,turistas_lag3,turistas_lag12,demand_index_pred
2026-01-01,6853.0254545454545,52.9,6.1899999999999995,18.070777272727273,1,1,223497.0,159797.0,191854.0,66.69229336494332
2026-02-01,6853.0254545454545,52.9,6.1899999999999995,18.070777272727273,2,1,223497.0,159797.0,191854.0,66.93378574267312
2026-03-01,6853.0254545454545,52.9,6.1899999999999995,18.070777272727273,3,1,223497.0,159797.0,191854.0,66.90483862623576
2026-04-01,6853.0254545454545,52.9,6.1899999999999995,18.070777272727273,4,2,223497.0,159797.0,191854.0,65.3315774419842
2026-05-01,6853.0254545454545,52.9,6.1899999999999995,18.070777272727273,5,2,223497.0,159797.0,191854.0,64.43368269880109
2026-06-01,6853.0254545454545,52.9,6.1899999999999995,18.070777272727273,6,2,223497.0,159797.0,191854.0,64.53863681292165
2026-07-01,6853.0254545454545,52.9,6.1899999999999995,18.070777272727273,7,3,223497.0,159797.0,191854.0,64.41680198045799
2026-08-01,6853.0254545454545,52.9,6.1899999999999995,18.070777272727273,8,3,223497.0,159797.0,191854.0,62.56691269490761
2026-09-01,6853.0254545454545,52.9,6.1899999999999995,18.070777272727273,9,3,223497.0,159797.0,191854.0,62.56691269490761
2026-10-01,6853.0254545454545,52.9,6.1899999999999995,18.070777272727273,10,4,223497.0,159797.0,191854.0,63.5243407188446
2026-11-01,6853.0254545454545,52.9,6.1899999999999995,18.070777272727273,11,4,223497.0,159797.0,191854.0,63.91225949288482
2026-12-01,6853.0254545454545,52.9,6.1899999999999995,18.070777272727273,12,4,223497.0,159797.0,191854.0,64.6412898623654
